PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
1. Alex Ovechkin,Washington Capitals,,UFA,31,"LW, RW",,78,51,28,79,0,,-,-,-,-,-,,"$9,000,000","$9,538,462"
2. Sidney Crosby,Pittsburgh Penguins,NMC,UFA,29,C,,80,36,68,104,0,,-,-,-,-,-,,"$12,000,000","$8,700,000"
3. Evgeni Malkin,Pittsburgh Penguins,NMC,UFA,30,"C, RW",,60,23,49,72,0,,-,-,-,-,-,,"$7,500,000","$8,700,000"
4. Corey Perry,Anaheim Ducks,NMC,UFA,32,RW,,81,43,39,82,0,,-,-,-,-,-,,"$7,000,000","$8,625,000"
5. Ryan Getzlaf,Anaheim Ducks,NMC,UFA,32,C,,77,31,56,87,0,,-,-,-,-,-,,"$6,500,000","$8,250,000"
6. Eric Staal,Minnesota Wild,NTC,UFA,32,C,,79,21,40,61,0,,-,-,-,-,-,,"$9,250,000","$8,250,000"
7. Shea Weber,Montreal Canadiens,,UFA,31,D,,79,23,33,56,0,,-,-,-,-,-,,"$14,000,000","$7,857,143"
8. Rick Nash,New York Rangers,NMC,UFA,33,"LW, RW",,65,26,13,39,0,,-,-,-,-,-,,"$7,800,000","$7,800,000"
9. Zach Parise,Minnesota Wild,NMC,UFA,32,LW,,67,29,27,56,0,,-,-,-,-,-,,"$12,000,000","$7,538,462"
10. Ryan Suter,Minnesota Wild,NMC,UFA,32,D,,82,8,35,43,0,,-,-,-,-,-,,"$12,000,000","$7,538,462"
11. Steven Stamkos,Tampa Bay Lightning,,UFA,27,C,,37,25,15,40,0,,-,-,-,-,-,,"$8,000,000","$7,500,000"
12. Marian Gaborik,Los Angeles Kings,NTC,UFA,35,RW,,41,11,19,30,0,,-,-,-,-,-,,"$7,500,000","$7,500,000"
13. Thomas Vanek,Dallas Stars,,UFA,33,"LW, RW",,78,27,41,68,0,,-,-,-,-,-,,"$6,400,000","$7,142,857"
14. Jason Spezza,Los Angeles Kings,"M-NTC, NMC",UFA,34,C,,75,23,43,66,0,,-,-,-,-,-,,"$5,000,000","$7,000,000"
15. Drew Doughty,San Jose Sharks,,UFA,27,D,,78,10,27,37,0,,-,-,-,-,-,,"$6,700,000","$7,000,000"
16. Joe Thornton,Nashville Predators,NMC,UFA,38,C,,82,11,65,76,0,,-,-,-,-,-,,"$6,000,000","$7,000,000"
17. Pekka Rinne,Boston Bruins,NMC,UFA,34,G,,24,-,-,-,-,-,0,0,0,0.00,.000,,"$7,000,000","$7,000,000"
18. Tuukka Rask,Boston Bruins,NMC,UFA,30,G,,58,-,-,-,-,-,0,0,0,0.00,.000,,"$6,000,000","$7,000,000"
19. Zdeno Chara,Toronto Maple Leafs,NMC,UFA,40,D,,77,17,23,40,0,,-,-,-,-,-,,"$8,000,000","$6,916,667"
20. Patrick Marleau,New York Rangers,NMC,UFA,37,"LW, C",,82,33,37,70,0,,-,-,-,-,-,,"$6,900,000","$6,900,000"
21. Henrik Lundqvist,Los Angeles Kings,,UFA,35,G,,63,-,-,-,-,-,0,0,0,0.00,.000,,"$5,125,000","$6,875,000"
22. Anze Kopitar,Minnesota Wild,,UFA,29,C,,82,29,41,70,0,,-,-,-,-,-,,"$7,500,000","$6,800,000"
23. Mikko Koivu,Washington Capitals,NMC,UFA,34,C,,65,11,43,54,0,,-,-,-,-,-,,"$7,290,000","$6,750,000"
24. Nicklas Backstrom,St. Louis Blues,,UFA,29,C,,82,18,61,79,0,,-,-,-,-,-,,"$6,000,000","$6,700,000"
25. Jay Bouwmeester,St. Louis Blues,,UFA,33,D,,82,4,33,37,0,,-,-,-,-,-,,"$6,600,000","$6,680,000"
26. Paul Stastny,Ottawa Senators,,UFA,31,C,,71,25,35,60,0,,-,-,-,-,-,,"$6,600,000","$6,600,000"
27. Erik Karlsson,Ottawa Senators,,UFA,27,D,,0,0,0,0,0,,-,-,-,-,-,,"$5,500,000","$6,500,000"
28. Dion Phaneuf,St. Louis Blues,,UFA,32,D,,80,8,23,31,0,,-,-,-,-,-,,"$5,500,000","$6,500,000"
29. Alex Pietrangelo,Montreal Canadiens,,UFA,27,D,,81,8,43,51,0,,-,-,-,-,-,,"$5,000,000","$6,500,000"
30. Carey Price,Chicago Blackhawks,,UFA,29,G,,59,-,-,-,-,-,0,0,0,0.00,.000,,"$5,750,000","$6,500,000"
31. Patrick Kane,Chicago Blackhawks,,UFA,28,"RW, C",,69,29,40,69,0,,-,-,-,-,-,,"$6,500,000","$6,300,000"
32. Jonathan Toews,Carolina Hurricanes,,UFA,29,C,,76,28,40,68,0,,-,-,-,-,-,,"$6,500,000","$6,300,000"
33. Cam Ward,Anaheim Ducks,NTC,UFA,33,G,,30,-,-,-,-,-,0,0,0,0.00,.000,,"$6,600,000","$6,300,000"
34. Ryan Miller,Vancouver Canucks,M-NTC,UFA,37,G,,59,-,-,-,-,-,0,0,0,0.00,.000,,"$6,250,000","$6,250,000"
35. Henrik Sedin,Vancouver Canucks,NMC,UFA,36,C,,70,11,39,50,0,,-,-,-,-,-,,"$6,100,000","$6,100,000"
